tau_1,tau_2,patch_acc_multi,patch_f1_macro,patch_pre_macro,patch_rec_macro,patch_f1_weighted,patch_pre_weighted,patch_rec_weighted,patch_f1_micro,patch_acc_bin,patch_f1_bin,patch_pre_bin,patch_rec_bin
0.0,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.01,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.01,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.02,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.02,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.02,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.03,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.03,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.03,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.03,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.04,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.04,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.04,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.04,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.04,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.05,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.05,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.05,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.05,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.05,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.05,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.06,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.06,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.06,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.06,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.06,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.06,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.06,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.07,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.07,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.07,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.07,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.07,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.07,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.07,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.07,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.08,0.0,0.9697,0.8317,0.8719,0.8068,0.9679,0.9685,0.9697,0.9697,0.9848,0.9245,1.0,0.8596
0.08,0.01,0.9167,0.7586,0.7495,0.85,0.9335,0.9584,0.9167,0.9167,0.9318,0.7429,0.6265,0.9123
0.08,0.02,0.9375,0.7713,0.7741,0.8332,0.9458,0.9599,0.9375,0.9375,0.9527,0.8031,0.7286,0.8947
0.08,0.03,0.9527,0.7953,0.8033,0.8357,0.9561,0.9638,0.9527,0.9527,0.9678,0.8571,0.8226,0.8947
0.08,0.04,0.9602,0.8116,0.8189,0.8369,0.9612,0.9651,0.9602,0.9602,0.9754,0.887,0.8793,0.8947
0.08,0.05,0.964,0.8225,0.8309,0.8375,0.964,0.9661,0.964,0.964,0.9792,0.9027,0.9107,0.8947
0.08,0.06,0.9697,0.8382,0.8601,0.8384,0.9689,0.9705,0.9697,0.9697,0.9848,0.9273,0.9623,0.8947
0.08,0.07,0.9678,0.8262,0.8535,0.8146,0.967,0.9681,0.9678,0.9678,0.983,0.9174,0.9615,0.8772
0.08,0.08,0.9697,0.8331,0.8634,0.8149,0.9685,0.9689,0.9697,0.9697,0.9848,0.9259,0.9804,0.8772
