filepath,filename,multiclass_label,binary_label,group_id,fold,multi_target
./patches/64/good/box_Bbox_p11_patch2_2.tif,box_Bbox_p11_patch2_2.tif,good,0,box_Bbox_p11,1,0
./patches/64/good/star_bstar_p17_patch2_0.tif,star_bstar_p17_patch2_0.tif,good,0,star_bstar_p17,3,0
./patches/64/good/star_bstar_p24_patch0_0.tif,star_bstar_p24_patch0_0.tif,good,0,star_bstar_p24,3,0
./patches/64/good/box_Bbox_p10_patch1_2.tif,box_Bbox_p10_patch1_2.tif,good,0,box_Bbox_p10,0,0
./patches/64/good/dot_p18_patch3_0.tif,dot_p18_patch3_0.tif,good,0,dot_p18,2,0
./patches/64/good/dot_t1_patch2_3.tif,dot_t1_patch2_3.tif,good,0,dot_t1,4,0
./patches/64/good/dot_h5_patch1_1.tif,dot_h5_patch1_1.tif,good,0,dot_h5,1,0
./patches/64/good/star_bstar_bn_d1_patch3_3.tif,star_bstar_bn_d1_patch3_3.tif,good,0,star_bstar_bn_d1,0,0
./patches/64/good/star_bstar_he_d4_patch3_2.tif,star_bstar_he_d4_patch3_2.tif,good,0,star_bstar_he_d4,4,0
./patches/64/good/star_bstar_bn_d4_patch3_2.tif,star_bstar_bn_d4_patch3_2.tif,good,0,star_bstar_bn_d4,0,0
./patches/64/good/box_Bbox_bn_d2_patch1_0.tif,box_Bbox_bn_d2_patch1_0.tif,good,0,box_Bbox_bn_d2,0,0
./patches/64/good/box_Bbox_p25_patch2_0.tif,box_Bbox_p25_patch2_0.tif,good,0,box_Bbox_p25,2,0
./patches/64/good/star_bstar_bn_d2_patch3_1.tif,star_bstar_bn_d2_patch3_1.tif,good,0,star_bstar_bn_d2,3,0
./patches/64/good/box_Bbox_p15_patch2_2.tif,box_Bbox_p15_patch2_2.tif,good,0,box_Bbox_p15,4,0
./patches/64/good/box_Bbox_p8_patch2_2.tif,box_Bbox_p8_patch2_2.tif,good,0,box_Bbox_p8,0,0
./patches/64/good/dot_p15_patch3_1.tif,dot_p15_patch3_1.tif,good,0,dot_p15,3,0
./patches/64/good/star_bstar_tn_d2_patch3_1.tif,star_bstar_tn_d2_patch3_1.tif,good,0,star_bstar_tn_d2,2,0
./patches/64/good/dot_tt1_patch0_1.tif,dot_tt1_patch0_1.tif,good,0,dot_tt1,2,0
./patches/64/good/star_bstar_p3_patch0_1.tif,star_bstar_p3_patch0_1.tif,good,0,star_bstar_p3,4,0
./patches/64/good/star_bstar_p12_patch0_0.tif,star_bstar_p12_patch0_0.tif,good,0,star_bstar_p12,4,0
./patches/64/good/box_Bbox_he_d5_patch3_0.tif,box_Bbox_he_d5_patch3_0.tif,good,0,box_Bbox_he_d5,4,0
./patches/64/good/star_bstar_p8_patch2_3.tif,star_bstar_p8_patch2_3.tif,good,0,star_bstar_p8,1,0
./patches/64/good/box_Bbox_tk_d1_patch0_1.tif,box_Bbox_tk_d1_patch0_1.tif,good,0,box_Bbox_tk_d1,2,0
./patches/64/good/dot_h3_patch1_0.tif,dot_h3_patch1_0.tif,good,0,dot_h3,3,0
./patches/64/good/box_Bbox_p20_patch2_1.tif,box_Bbox_p20_patch2_1.tif,good,0,box_Bbox_p20,0,0
./patches/64/good/box_Bbox_nn_d5_patch2_0.tif,box_Bbox_nn_d5_patch2_0.tif,good,0,box_Bbox_nn_d5,2,0
./patches/64/good/box_Bbox_p29_patch3_3.tif,box_Bbox_p29_patch3_3.tif,good,0,box_Bbox_p29,0,0
./patches/64/good/dot_k5_patch2_1.tif,dot_k5_patch2_1.tif,good,0,dot_k5,2,0
./patches/64/good/dot_k5_patch2_2.tif,dot_k5_patch2_2.tif,good,0,dot_k5,2,0
./patches/64/good/box_Bbox_nn_d3_patch3_0.tif,box_Bbox_nn_d3_patch3_0.tif,good,0,box_Bbox_nn_d3,4,0
./patches/64/good/dot_b1_patch0_1.tif,dot_b1_patch0_1.tif,good,0,dot_b1,3,0
./patches/64/good/box_Bbox_p15_patch1_3.tif,box_Bbox_p15_patch1_3.tif,good,0,box_Bbox_p15,4,0
./patches/64/good/box_Bbox_nn_d3_patch0_2.tif,box_Bbox_nn_d3_patch0_2.tif,good,0,box_Bbox_nn_d3,4,0
./patches/64/good/star_bstar_tk_d2_patch0_3.tif,star_bstar_tk_d2_patch0_3.tif,good,0,star_bstar_tk_d2,0,0
./patches/64/good/star_bstar_p4_patch2_0.tif,star_bstar_p4_patch2_0.tif,good,0,star_bstar_p4,1,0
./patches/64/good/star_bstar_tn_d3_patch0_0.tif,star_bstar_tn_d3_patch0_0.tif,good,0,star_bstar_tn_d3,0,0
./patches/64/good/star_bstar_nn_d4_patch1_3.tif,star_bstar_nn_d4_patch1_3.tif,good,0,star_bstar_nn_d4,2,0
./patches/64/good/star_bstar_p22_patch2_0.tif,star_bstar_p22_patch2_0.tif,good,0,star_bstar_p22,0,0
./patches/64/good/dot_p23_patch1_1.tif,dot_p23_patch1_1.tif,good,0,dot_p23,1,0
./patches/64/good/box_Bbox_p29_patch0_0.tif,box_Bbox_p29_patch0_0.tif,good,0,box_Bbox_p29,0,0
./patches/64/good/dot_tt1_patch0_3.tif,dot_tt1_patch0_3.tif,good,0,dot_tt1,2,0
./patches/64/good/box_Bbox_p3_patch1_0.tif,box_Bbox_p3_patch1_0.tif,good,0,box_Bbox_p3,0,0
./patches/64/good/star_bstar_p3_patch0_3.tif,star_bstar_p3_patch0_3.tif,good,0,star_bstar_p3,4,0
./patches/64/good/star_bstar_p13_patch2_2.tif,star_bstar_p13_patch2_2.tif,good,0,star_bstar_p13,0,0
./patches/64/good/box_Bbox_bn_d1_patch2_1.tif,box_Bbox_bn_d1_patch2_1.tif,good,0,box_Bbox_bn_d1,2,0
./patches/64/good/box_Bbox_p30_patch1_0.tif,box_Bbox_p30_patch1_0.tif,good,0,box_Bbox_p30,3,0
./patches/64/good/star_bstar_p3_patch3_1.tif,star_bstar_p3_patch3_1.tif,good,0,star_bstar_p3,4,0
./patches/64/good/star_bstar_p13_patch0_0.tif,star_bstar_p13_patch0_0.tif,good,0,star_bstar_p13,0,0
./patches/64/good/dot_h5_patch2_0.tif,dot_h5_patch2_0.tif,good,0,dot_h5,1,0
